Date,Open,High,Low,Close,Adj Close,Volume
2024-04-25,27.540001,27.650000,27.230000,27.379999,26.718416,11303300
2024-04-26,27.379999,27.379999,27.379999,27.379999,26.718416,0
2024-04-29,27.570000,27.660000,27.379999,27.549999,26.884308,8658100
2024-04-30,27.500000,27.740000,27.420000,27.420000,26.757450,12221500
2024-05-02,27.540001,27.780001,27.379999,27.709999,27.040442,14604400
2024-05-03,28.020000,28.360001,27.900000,28.219999,27.538118,17315600
2024-05-06,28.299999,28.440001,28.160000,28.379999,27.694252,10006000
2024-05-07,28.480000,28.660000,28.290001,28.290001,27.606430,12606600
2024-05-08,28.270000,28.520000,28.010000,28.379999,27.694252,14023400
2024-05-09,28.260000,28.290001,27.049999,27.139999,26.484215,56649000
2024-05-10,27.350000,27.750000,27.350000,27.620001,26.952618,23660500
2024-05-13,27.650000,27.969999,27.650000,27.830000,27.157543,14278500
2024-05-14,27.870001,28.070000,27.830000,28.010000,27.333195,13200800
2024-05-15,27.750000,27.790001,27.379999,27.650000,26.981894,20313600
2024-05-16,27.850000,27.959999,27.650000,27.680000,27.011168,9827300
2024-05-17,27.700001,27.820000,27.540001,27.690001,27.020926,17116600
2024-05-20,27.650000,28.049999,27.620001,27.920000,27.245369,16513000
2024-05-21,27.950001,28.129999,27.879999,27.900000,27.225851,9999300
2024-05-22,27.820000,27.920000,27.410000,27.500000,26.835518,15877800
2024-05-23,27.500000,27.559999,26.780001,26.940001,26.289049,25677100
2024-05-24,27.010000,27.139999,26.799999,27.080000,26.425665,13949800
2024-05-27,27.139999,27.469999,27.080000,27.410000,26.747690,31296700
2024-05-28,27.549999,27.620001,27.290001,27.320000,26.659866,35304600
2024-05-29,27.469999,27.469999,27.120001,27.320000,26.659866,25627500
2024-05-31,27.379999,27.500000,27.120001,27.120001,26.464701,19114900
2024-06-03,27.180000,27.389999,27.070000,27.150000,26.493973,27700400
2024-06-04,27.150000,27.250000,26.980000,27.230000,26.572041,18277800
2024-06-05,27.250000,27.400000,27.150000,27.290001,26.630592,14021500
2024-06-06,27.299999,27.719999,27.200001,27.650000,26.981894,13834300
2024-06-07,27.500000,27.680000,27.080000,27.180000,26.523249,13651100
2024-06-10,27.250000,27.350000,27.100000,27.209999,26.552523,12719000
2024-06-11,27.360001,27.600000,27.250000,27.510000,26.845276,11037400
2024-06-12,27.299999,27.299999,26.459999,26.540001,26.337137,19141600
2024-06-13,26.620001,26.799999,26.510000,26.719999,26.515760,13566600
2024-06-14,26.549999,26.660000,26.309999,26.450001,26.450001,11155000
2024-06-17,26.450001,26.480000,26.219999,26.450001,26.450001,10363900
2024-06-18,26.379999,26.450001,26.059999,26.080000,26.080000,22540300
2024-06-19,26.090000,26.340000,26.030001,26.270000,26.270000,12079600
2024-06-20,26.379999,26.629999,26.270000,26.389999,26.389999,16467900
2024-06-21,26.400000,26.620001,26.280001,26.610001,26.610001,34467200
2024-06-24,26.610001,27.040001,26.500000,26.809999,26.809999,13258500
2024-06-25,26.809999,26.950001,26.650000,26.889999,26.889999,10743600
2024-06-26,26.900000,26.900000,26.469999,26.709999,26.709999,15089500
2024-06-27,26.790001,26.820000,26.410000,26.700001,26.700001,17283200
2024-06-28,26.700001,26.740000,26.459999,26.709999,26.709999,15567200
2024-07-01,26.740000,26.799999,26.320000,26.360001,26.360001,20469000
2024-07-02,26.420000,26.559999,26.379999,26.450001,26.450001,16107800
2024-07-03,26.549999,26.879999,26.480000,26.709999,26.709999,14438300
2024-07-04,26.900000,26.969999,26.610001,26.850000,26.850000,10529500
2024-07-05,26.850000,26.870001,26.530001,26.730000,26.730000,11971800
2024-07-08,26.690001,26.690001,26.190001,26.290001,26.290001,19760700
2024-07-09,26.280001,26.280001,25.990000,26.200001,26.200001,18032800
2024-07-10,26.320000,26.620001,26.240000,26.610001,26.610001,20180600
2024-07-11,26.629999,26.840000,26.320000,26.400000,26.400000,11887000
